Word: ; amount: 0
Word: a-souling’; amount: 1
Word: across; amount: 1
Word: actually; amount: 1
Word: added; amount: 1
Word: adopted; amount: 1
Word: afraid; amount: 1
Word: alone; amount: 1
Word: ancient; amount: 1
Word: animal; amount: 1
Word: another; amount: 1
Word: any; amount: 1
Word: arrived; amount: 1
Word: asking; amount: 1
Word: away; amount: 1
Word: become; amount: 1
Word: beginning; amount: 1
Word: cakes’; amount: 1
Word: called; amount: 1
Word: canadians; amount: 1
Word: catholic; amount: 1
Word: celebrating; amount: 1
Word: change; amount: 1
Word: christian; amount: 1
Word: christmas; amount: 1
Word: clothes; amount: 1
Word: comes; amount: 1
Word: commercial; amount: 1
Word: continues; amount: 1
Word: costumes; amount: 1
Word: covered; amount: 1
Word: dark; amount: 1
Word: dead; amount: 1
Word: death; amount: 1
Word: devil; amount: 1
Word: doors; amount: 1
Word: early; amount: 1
Word: easier; amount: 1
Word: europeans; amount: 1
Word: even; amount: 1
Word: family; amount: 1
Word: fire; amount: 1
Word: food; amount: 1
Word: found; amount: 1
Word: gave; amount: 1
Word: gifts; amount: 1
Word: giving; amount: 1
Word: had; amount: 1
Word: hallows; amount: 1
Word: has; amount: 1
Word: have; amount: 1
Word: houses; amount: 1
Word: hundreds; amount: 1
Word: into; amount: 1
Word: introduced; amount: 1
Word: ireland; amount: 1
Word: it’s; amount: 1
Word: jack-o’-lantern; amount: 1
Word: join; amount: 1
Word: just; amount: 1
Word: kept; amount: 1
Word: knock; amount: 1
Word: late; amount: 1
Word: leave; amount: 1
Word: leaving; amount: 1
Word: less; amount: 1
Word: life; amount: 1
Word: lit; amount: 1
Word: live; amount: 1
Word: look; amount: 1
Word: man; amount: 1
Word: masks; amount: 1
Word: mexico; amount: 1
Word: mix; amount: 1
Word: moved; amount: 1
Word: much; amount: 1
Word: native; amount: 1
Word: neighbours; amount: 1
Word: night; amount: 1
Word: oldest; amount: 1
Word: ones; amount: 1
Word: origins; amount: 1
Word: party; amount: 1
Word: people’s; amount: 1
Word: played; amount: 1
Word: poor; amount: 1
Word: potatoes; amount: 1
Word: punishment; amount: 1
Word: put; amount: 1
Word: quarter; amount: 1
Word: raisins; amount: 1
Word: religion; amount: 1
Word: replaced; amount: 1
Word: rest; amount: 1
Word: return; amount: 1
Word: rich; amount: 1
Word: safe; amount: 1
Word: saints; amount: 1
Word: scare; amount: 1
Word: scotland; amount: 1
Word: season; amount: 1
Word: second-biggest; amount: 1
Word: see; amount: 1
Word: skulls; amount: 1
Word: small; amount: 1
Word: sold; amount: 1
Word: sometimes; amount: 1
